Name,Chemical formula,m/z,HMDB,KEGG,PubChem,ChEBI,MetLin,Chemical sub class,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,spec_id
Pyruvic acid,C3H4O3,87.0082,HMDB0000243,C00022,1060,32816,117,Short-chain acids,,,,,014b1ece-2d8b-4f86-962d-f347d7d06398
L-Alanine,C3H7NO2,88.0403,HMDB0000161,C00041,5950,16977,-,Amino acids,,,,,045140d8-52aa-48b0-8bd4-2713f189a7c5
Lactic acid,C3H6O3,89.0239,HMDB0000190,C00186,107689,422,5205,Short-chain acids,,,,,05fdd75c-320b-4ba6-a1e4-de2c3c55dae2
Phosphate,H3O4P,96.9691,HMDB0001429,C00009,1004,26078,3231,Phosphates,,,,,060229e4-a44a-4568-bc07-808a13af1445
Serine,C3H7NO3,104.0352,HMDB0000187,C00065,5951,17115,5203,Amino acids,,,,,06347109-ae5f-484a-8850-a003651def2e
Hypotaurine,C2H7NO2S,108.0124,HMDB0000965,C00519,107812,16668,281,Sulfinic acids,,,,,064dc6d7-41f6-42ae-8444-d8dedc0c04c7
Uridine 5'-monophosphate,C9H13N2O9P,323.0283,HMDB0000288,C00105,6030,16695,-,Pyrimidine rNMP,,,,,077fbf65-8680-49c9-884c-89cdf382418e
Proline,C5H9NO2,114.0559,HMDB0000162,C00148,145742,17203,29,Amino acids,,,,,0976382f-6764-4510-ab7a-6f5b0fb787d4
Acetylglycine,C4H7NO3,116.0352,HMDB0000532,-,10972,40410,5517,Amino acids,,,,,0a362207-d992-481a-b8ad-dea75cc658fe
Succinic acid,C4H6O4,117.0188,HMDB0000254,C00042,1110,15741,114,TCA acids,,,,,0a77f730-3bc6-451b-acf6-9f9c12da0f57
L-Threonine,C4H9NO3,118.0508,HMDB0000167,C00188,6288,16857,32,Amino acids,,,,,0bd987b3-dc7f-4fc3-b573-16d6f6bf3656
L-Cysteine,C3H7NO2S,120.0122,HMDB0000574,C00097,5862,17561,5556,Amino acids,,,,,0d2f98df-90b4-497f-8343-e68814f1c761
Taurine,C2H7NO3S,124.0068,HMDB0000251,C00245,1123,15891,31,Sulfonic acids,,,,,0d725593-fd38-4b62-ac2d-189746e9c8d1
Pyroglutamic acid,C5H7NO3,128.0352,HMDB0000267,C01879,7405,18183,3251,Amino acids,,,,,126efa12-6169-4ad5-bc59-ce1a38a75c4f
Pipecolic acid,C6H11NO2,128.0716,HMDB0000070,C00408,849,17964,50,Amino acids,,,,,12fae74f-c8fa-4e58-9094-50e13764cd2b
Glutaconic acid,C5H6O4,129.0192,HMDB0000620,C02214,5280498,15670,5593,Dicarboxylic acids,,,,,15355dc1-57f1-49a1-8b33-ce62d178980a
Creatine,C4H9N3O2,130.062,HMDB0000064,C00300,586,16919,7,Amino acids,,,,,16058bb7-fe24-4398-8917-4e3d7c804ac3
L-Asparagine,C4H8N2O3,131.0461,HMDB0000168,C00152,6267,17196,14,Amino acids,,,,,19b0df63-2ac8-4f01-94ef-655768b4e3f7
Ornithine,C5H12N2O2,131.0821,HMDB0000214,C00077,6262,15729,27,Amino acids,,,,,1b677b7f-5e9d-4491-9810-8cf7e1ef9741
L-Aspartic acid,C4H7NO4,132.0297,HMDB0000191,C00049,5960,17053,5206,Amino acids,,,,,1cefd21d-1c81-4198-9e00-ea4275571379
Malic acid,C4H6O5,133.0137,HMDB0000156,C00149,222656,30797,-,,,,,,1cf60b69-dcce-4998-86c9-44f6b7d36550
Adenine,C5H5N5,134.0467,HMDB0000034,C00147,190,16708,85,Aminopurines,,,,,1f174a94-eb33-4a56-852e-d42af6d210f9
Hypoxanthine,C5H4N4O,135.0307,HMDB0000157,C00262,790,17368,83,Hypoxanthines,,,,,211b168f-fc84-4b31-8e3d-a909445de98e
Uridine,C9H12N2O6,243.0617,HMDB0000296,C00299,6029,16704,90,Pyrimidine ribonucleosides,,,,,21f06400-a47f-46bc-9dcd-0109efd6b1b5
Acetylphosphate,C2H5O5P,138.98,HMDB0001494,C00227,186,15350,6278,Phosphate esters,,,,,2522736c-9dd7-4a6b-9cf5-6b1847a64d2a
O-Phosphoethanolamine,C2H8NO4P,140.0113,HMDB0000224,C00346,1015,17553,5233,Phosphoethanolamines,,,,,259d2c97-130b-4641-bd9b-e3dec3df03ef
3-Methylglutaconic acid,C6H8O4,143.0348,HMDB0000522,-,1551553,37245,5507,Dicarboxylic acids,,,,,25c45292-d56c-409c-b0f3-b69833f6a118
N-Butyrylglycine,C6H11NO3,144.0664,HMDB0000808,-,88412,89963,5772,N-acyl amines,,,,,25e7cabe-1493-43e4-afef-f4f018e8dc18
Oxoglutaric acid,C5H6O5,145.0141,HMDB0000208,C00026,51,30915,5218,,,,,,26c00f34-4a45-4b25-b979-f0f1c52aaf71
Glutamine,C5H10N2O3,145.0613,HMDB0000641,C00064,5961,18050,5614,Amino acids,,,,,27666b1c-5975-4f32-9612-4f00bec4880e
Lysine,C6H14N2O2,145.0981,HMDB0000182,C00047,5962,18019,5200,Amino acids,,,,,281fe0ec-d5c5-40bb-ae65-36a1c338f103
Glutamic acid,C5H9NO4,146.0453,HMDB0000148,C00025,33032,16015,5174,Amino acids,,,,,2895eca5-79a3-4a94-948f-6917f1d03321
2-Hydroxyglutarate,C5H8O5,147.0297,HMDB0059655,C02630,43,17084,-,Dicarboxylic acids,,,,,291bd990-ce9a-49a7-997d-55b26c5f87be
Methionine,C5H11NO2S,148.0437,HMDB0000696,C00073,6137,16643,5664,Amino acids,,,,,29538d85-df78-4c91-9ba3-0c9b6de10458
Uridine triphosphate,C9H15N2O15P3,482.9615,HMDB0000285,C00075,6133,15713,5277,Pyrimidine rNTP,,,,,29c7071f-f138-4cd3-adc5-7165fe8f47a3
Mandelic acid,C8H8O3,151.0397,HMDB0000703,C01984,439616,32800,5671,Cinnamic acids,,,,,2b703264-6e28-4487-bcd0-f480c0135252
Dopamine,C8H11NO2,152.0712,HMDB0000073,C03758,681,18243,64,Phenylethylamines,,,,,2bf2fbe7-e874-465d-bb28-3a35e2aa3d88
2_6-Dihydroxybenzoic acid,C7H6O4,153.019,HMDB0013676,C21298,9338,68465,-,Phenolic acids,,,,,2dc07c68-e6eb-44ea-8f7b-b883d1ba11ae
Histidine,C6H9N3O2,154.0621,HMDB0000177,C00135,6274,15971,21,Amino acids,,,,,2de86fe1-a66b-4edd-a78a-1a533e90baf8
Orotic acid,C5H4N2O4,155.0096,HMDB0000226,C00295,967,16742,318,Pyrimidine carboxylic acids,,,,,30dac978-f717-4885-857c-84e68f6b6d5b
Allantoin,C4H6N4O3,157.0364,HMDB0000462,C02350,204,15676,89,Ureides,,,,,30eb2c7e-c1db-4101-8284-0b755566cea3
