id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
0,87.00070000000001,87.0157,Pyruvic acid,3749.83056640625,87.0082,aff596aa-8aff-479f-a8dc-9a3957e1b0f7
1,88.03280000000001,88.0478,L-Alanine,3823.749267578125,88.0403,fb922874-2fe7-4abb-95ca-2d14b6079849
2,89.0164,89.03139999999999,Lactic acid,899.0317993164062,89.0239,64544264-90f6-4a16-8f85-2d80aa3e7393
4,104.02770000000001,104.0427,Serine,542.1014404296875,104.0352,447d1f1f-1771-485a-933f-ee807559dca5
5,108.0049,108.01989999999999,Hypotaurine,191.64564514160156,108.0124,5ebe984d-670f-4bab-8395-ea648f291266
6,323.0208,323.0358,Uridine 5'-monophosphate,1446.097900390625,323.0283,e5eaa4db-3825-4cf0-b04d-5989419c4c85
7,114.0484,114.06339999999999,Proline,389.1173400878906,114.0559,968d3ad9-dde7-4a94-9d3d-baacb729ab87
8,116.02770000000001,116.0427,Acetylglycine,207.3079376220703,116.0352,e94ae940-d631-491e-858f-615f5ad10b60
9,117.0113,117.02629999999999,Succinic acid,721.85009765625,117.0188,5b246f58-75cf-4340-b54d-8d7c0a2add7c
10,118.0433,118.05829999999999,L-Threonine,649.9523315429688,118.0508,f566c8ce-b9e4-4cd9-b4cf-2577089d3875
12,123.9993,124.01429999999999,Taurine,176027.6875,124.0068,abae9793-808e-43e9-af53-8a89bd5fbd54
13,128.0277,128.0427,Pyroglutamic acid,3217.606689453125,128.0352,1b677b7f-5e9d-4491-9810-8cf7e1ef9741
14,128.0641,128.07909999999998,Pipecolic acid,205.7517547607422,128.0716,fdac0316-752d-40bd-81f3-0a0a6aea588d
15,129.01170000000002,129.0267,Glutaconic acid,491.2242431640625,129.0192,1cefd21d-1c81-4198-9e00-ea4275571379
16,130.05450000000002,130.0695,Creatine,617.6106567382812,130.062,429e390d-5699-4b0b-a078-1f190fe83dd8
17,131.0386,131.0536,L-Asparagine,490.9402770996094,131.0461,3ae0fae0-f788-4b42-9535-18a6e69da09c
18,131.0746,131.0896,Ornithine,253.58595275878906,131.0821,950e4aa3-38df-4ed1-84e1-8882949f387a
19,132.0222,132.03719999999998,L-Aspartic acid,2713.569091796875,132.0297,2de86fe1-a66b-4edd-a78a-1a533e90baf8
20,133.0062,133.0212,Malic acid,2481.119873046875,133.0137,ea1a79e5-0514-4308-ad3d-7778af9843ae
21,134.0392,134.05419999999998,Adenine,1866.0784912109375,134.0467,27666b1c-5975-4f32-9612-4f00bec4880e
22,135.0232,135.0382,Hypoxanthine,1978.0606689453125,135.0307,0a362207-d992-481a-b8ad-dea75cc658fe
23,243.0542,243.0692,Uridine,197.84182739257812,243.0617,d263aec5-7ebf-42d7-ac08-b2fc410e9ecc
24,138.9725,138.98749999999998,Acetylphosphate,830.7799072265625,138.98,39a56759-1ddc-47a9-8c2b-77750f797a46
25,140.0038,140.0188,O-Phosphoethanolamine,6442.5732421875,140.0113,ae667832-0895-4fab-b672-6bd0b65910c5
26,143.0273,143.04229999999998,3-Methylglutaconic acid,213.6406707763672,143.0348,6994adf5-c00f-45a5-87a3-f5ff47bf2798
29,145.0538,145.06879999999998,Glutamine,1696.2506103515625,145.0613,ca531b7e-a9d4-406f-be2b-a4d3f310a167
30,145.0906,145.10559999999998,Lysine,232.1687469482422,145.0981,c7357a7f-2d22-45e3-b4ce-d26faebc9f0f
31,146.0378,146.0528,Glutamic acid,4818.92822265625,146.0453,126efa12-6169-4ad5-bc59-ce1a38a75c4f
