id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
0,87.00070000000001,87.0157,Pyruvic acid,3749.83056640625,87.0082,901a7d45-9bb9-48ae-aab0-77e82d482817
1,88.03280000000001,88.0478,L-Alanine,3823.749267578125,88.0403,6bb3a4ac-966b-4629-9424-a30b444e4d78
2,89.0164,89.03139999999999,Lactic acid,899.0317993164062,89.0239,ce1be6c8-a38f-4df1-abdf-af193d56328b
4,104.02770000000001,104.0427,Serine,542.1014404296875,104.0352,6a4ad015-c341-457e-83df-a9e68beaa5b5
5,108.0049,108.01989999999999,Hypotaurine,191.64564514160156,108.0124,c54facc5-1090-40a7-b9cd-6dabb6c20b74
6,323.0208,323.0358,Uridine 5'-monophosphate,1446.097900390625,323.0283,86a65bd1-953d-4054-b8e2-4aef16016b51
7,114.0484,114.06339999999999,Proline,389.1173400878906,114.0559,210bca40-279d-41ec-8d29-0db7f648fe66
8,116.02770000000001,116.0427,Acetylglycine,207.3079376220703,116.0352,aa847161-6cf5-475d-996e-eb99b2f30ecb
9,117.0113,117.02629999999999,Succinic acid,721.85009765625,117.0188,3110dda2-5392-4273-a7cc-68a3663c0c12
10,118.0433,118.05829999999999,L-Threonine,649.9523315429688,118.0508,93557b7f-b495-4bf2-a0c3-bc62d564ef5e
12,123.9993,124.01429999999999,Taurine,176027.6875,124.0068,9c83d6c4-8294-42a8-9c37-21006b62946a
13,128.0277,128.0427,Pyroglutamic acid,3217.606689453125,128.0352,8ce8c25b-3aef-460d-9ce7-34393882a2a5
14,128.0641,128.07909999999998,Pipecolic acid,205.7517547607422,128.0716,e52935e2-ae97-4b88-81b7-50886c12b063
15,129.01170000000002,129.0267,Glutaconic acid,491.2242431640625,129.0192,48e80cf3-36a1-42f2-add1-6537372d7698
16,130.05450000000002,130.0695,Creatine,617.6106567382812,130.062,e3b5234f-89be-4df3-8f7b-ec3bd31d61f0
17,131.0386,131.0536,L-Asparagine,490.9402770996094,131.0461,902c6d74-d64a-4673-bc56-a41d6b28a336
18,131.0746,131.0896,Ornithine,253.58595275878906,131.0821,2b7effef-fdbf-4390-957f-d6caa82a31e3
19,132.0222,132.03719999999998,L-Aspartic acid,2713.569091796875,132.0297,ca3624ca-8990-4118-8c05-c327546f8e4c
20,133.0062,133.0212,Malic acid,2481.119873046875,133.0137,94d03bcd-aad2-4ca8-b077-0887577bd238
21,134.0392,134.05419999999998,Adenine,1866.0784912109375,134.0467,17102df8-fb8a-4674-b3f0-b8508fa7f09b
22,135.0232,135.0382,Hypoxanthine,1978.0606689453125,135.0307,2974be1a-afbb-42cd-8d69-f83dc3252ac6
23,243.0542,243.0692,Uridine,197.84182739257812,243.0617,a6cc4cfa-03cc-4365-92be-0ddd54c816e1
24,138.9725,138.98749999999998,Acetylphosphate,830.7799072265625,138.98,f03cc839-c7c1-49ff-9f0a-d3a45de61c60
25,140.0038,140.0188,O-Phosphoethanolamine,6442.5732421875,140.0113,d4b1e1db-387e-41fd-9c5f-67e06f5b065a
26,143.0273,143.04229999999998,3-Methylglutaconic acid,213.6406707763672,143.0348,e9979f09-d213-4283-a324-89720a59239c
29,145.0538,145.06879999999998,Glutamine,1696.2506103515625,145.0613,51746646-7991-45c3-97b0-2542099e5877
30,145.0906,145.10559999999998,Lysine,232.1687469482422,145.0981,eec52234-f0e5-4752-8db7-731d0429b6fc
31,146.0378,146.0528,Glutamic acid,4818.92822265625,146.0453,29f0dc84-f2ae-4374-acbc-31b2fa602035
32,147.0222,147.03719999999998,2-Hydroxyglutarate,259.4822082519531,147.0297,a078834a-f8fe-4671-9c86-550312225402
34,482.954,482.969,Uridine triphosphate,55.670894622802734,482.9615,86252237-1a41-499b-bac6-6d99aa146a6b
36,152.0637,152.0787,Dopamine,250.3758087158203,152.0712,1a13a016-a0ce-4231-8bd0-322a8d30fb61
38,154.0546,154.06959999999998,Histidine,473.559326171875,154.0621,5821ef26-f951-4477-85ee-d4c1b90f9ac6
40,157.0289,157.04389999999998,Allantoin,144.29612731933594,157.0364,2bc2bbbf-251f-4532-bcf8-0d032c200ef1
41,158.0534,158.0684,Indoleacetaldehyde,221.91668701171875,158.0609,0658bd6c-d5c1-4fd3-8de2-ffbe554741ff
45,166.0214,166.0364,Taurocyamine,372.75634765625,166.0289,0363c2a3-2ff0-46c8-a82b-efb25fab3fef
